ae                             aurel                          1_BCH  2  5 2000  1   200.00     0.00     1.00
ze                             aurel                          1_BCH  2  5 2000  1   200.00     0.00     1.00
ee                             aurel                          1_BCH  2  5 2000  1   200.00     0.00     1.00
re                             aurel                          1_BCH  2  5 2000  1   200.00     0.00     1.00
Desplanque                     Aurel                          1_BCH  2  1 2000  1   200.00     0.00     0.00
RE                             RE                             1_BCH  1  1    1  1   200.00     0.00     0.00
R                              R                              1_BCH  2  2    2  1   200.00     0.00     0.00
f                              f                              1_BCH  2  2    2  1   200.00     0.00     0.00
f                              f                              1_BCH  2  2    2  1   200.00     0.00     0.00
f                              f                              1_BCH  2  2    2  1   200.00     0.00     0.00
dela                           geo                            1_BCH  2  2 2000  1   200.00     0.00     0.00
dela                           geo                            1_BCH 11 22 2222  1   200.00     0.00     0.00
Bal                            Nico                           1_INF 33 22 1111  1   300.00     0.00     0.00
Carpentier                     Jean-michel                    1_OMG  2  5 1990  1    10.00     0.00     0.00
t                              t                              1_OMG  2  2    2  1    10.00     0.00     0.00
carl                           junior                         1_CDC  1  1 1000  1   530.16     0.00     0.00
