Dupont                         Pierre                         2_ANR 23 11 1997  2   440.00     0.00     0.00
Dubois                         Jade                           1_ACE 15  6 2003  1   365.00     0.00     0.00
Darcor                         Louise                         1_ACE  3 23 1980  1   365.00     0.00     0.00
Reto                           Leo                            1_ACE  9  6 2000  1   365.00     0.00     0.00
Matta                          Raphael                        2_ACE  4 23 1980  2   234.00     0.00     0.00
Bonfitto                       Lorenzo                        2_ACE 14  9 1999  2   234.00     0.00     0.00
Picavez                        Helena                         1_ACE  5  3 1970  1   365.00     0.00     0.00
Decabottez                     Alicee                         1_ACE 30 10 1999  1   365.00     0.00     0.00
Wykhuys                        Ameline                        1_ACE 30  4 1996  1   365.00     0.00     0.00
Wibaut                         Jade                           2_ACE 10 30 2003  2   234.00     0.00     0.00
Cesar                          Jules                          2_ACE 29  2 1980  2   234.00     0.00     0.00
Terieur                        Alain                          2_ACE 30  2 1990  2   234.00     0.00     0.00
Junior                         Carl-Antoni                    2_ACE 30  2 1993  2   234.00     0.00     0.00
Terieur                        Alex                           1_ACE 20  2 2003  1   365.00     0.00     0.00
Wallez                         Alizee                         1_AII  3  1 1990  1   243.00     0.00     0.00
Noppe                          Nathalie                       2_ACE 24 12 2000  2   234.00     0.00     0.00
Matin                          Martin                         1_ACE  4  2 1990  1   365.00     0.00     0.00
Savaette                       Nicolas                        1_AII 10 10 2000  1   243.00     0.00     0.00
Occre                          Kim                            1_AII  3  2 2000  1   243.00     0.00     0.00
Rose                           Akimbo                         1_AII  3  4 1994  1   243.00     0.00     0.00
Ademo                          Doubila                        1_AII  2 11 1997  1   243.00     0.00     0.00
Rey                            Alain                          1_AII  3  2 1990  1   243.00     0.00     0.00
Desmontagne                    Anais                          1_AII 20  2 1999  1   243.00     0.00     0.00
Meireaux                       Alicia                         1_AII 15 12 2000  1   243.00     0.00     0.00
Meireaux                       Florine                        1_AII 12  8 2001  1   243.00     0.00     0.00
Delattre                       Geoffrey                       1_AII 15 12 1990  1   243.00     0.00     0.00
Marche                         Lucas                          1_AII  4 10 1998  1   243.00     0.00     0.00
Jean                           Raphael                        1_AII  3  1 2000  1   243.00     0.00     0.00
Nek                            Feu                            2_AII  4  3 1989  2   323.00     0.00     0.00
Delo                           Doliprane                      2_AII 23 10 2000  2   323.00     0.00     0.00
Patre                          Coca                           2_AII 23 12 1990  2   323.00     0.00     0.00
Talo                           Lola                           1_ARS 23 10 2004  1   234.32     0.00     0.00
Tordu                          Paul                           2_AII  3  2 1998  2   323.00     0.00     0.00
Matue                          Amine                          2_AII  4  3 2000  2   323.00     0.00     0.00
Thavaud                        Norman                         1_ARS  3  1 2000  1   234.32     0.00     0.00
Leroi                          Desrats                        1_ARS  6  8 2004  1   234.32     0.00     0.00
Unrapeur                       Urbain                         2_ARS  1  2 1990  2   432.20     0.00     0.00
Pollez                         Deborah                        2_ARS 29  1 1997  2   432.20     0.00     0.00
Taelc                          Talah                          2_ARS 26  8 2000  2   432.20     0.00     0.00
Lefou                          Furieux                        1_AGC  3  1 1997  1   132.00     0.00     0.00
Cognez                         Ilias                          1_AGC  6  7 1990  1   132.00     0.00     0.00
Rapo                           Ted                            2_AGC 25  8 1996  2   343.00     0.00     0.00
Tapo                           Teddy                          1_AGC  2  3 1998  1   132.00     0.00     0.00
Aves                           Aurelie                        2_AGC  5  6 1990  2   343.00     0.00     0.00
Rossi                          Richard                        2_AGC  4  3 1990  2   343.00     0.00     0.00
Besson                         Nicole                         1_AGC  4  6 2003  1   132.00     0.00     0.00
Jacquet                        Isaac                          2_AGC  1  2 2000  2   343.00     0.00     0.00
Raynaud                        Therese                        1_APF  3  9 2003  1   123.00     0.00     0.00
Olivier                        Caroline                       2_AGC 20  7 2000  2   343.00     0.00     0.00
Le Michel                      Alexandre                      1_AGC 10  2 1990  1   132.00     0.00     0.00
Guy                            Philippe                       1_APF 10 10 2000  1   123.00     0.00     0.00
Simon                          Nicolas                        1_AGC  9  9 2000  1   132.00     0.00     0.00
Blanchet                       Remy                           2_ARS  7  7 2000  2   432.20     0.00     0.00
Pottier                        Franck                         1_AGC  4  5 1990  1   132.00     0.00     0.00
